84.00	Jan 24	174159933681	Lotusware Porcelain Columbia Bowl - Knowles, Taylor and Knowles
90.00	Jan 24	174166292012	Wedgwood Yellow Caneware Cup and Saucer with Prunus and Bamboo Design
12.95	Jan 23	174166886649	Tricolor Brown, Blue, White Jasperware Dudson Brothers Hanley Coffee Pot Pitcher
180.77	Jan 22	174157263436	Reuge Wooden MUSIC BOX with 5 WEDGWOOD Cameos WHITE HORSE INN Switzerland SWISS
94.00	Jan 22	174157228136	1968 Wedgwood Jasperware White on Green Framed Plaque ENGLAND Offering to Peace
102.50	Jan 22	174156819766	WEDGWOOD Kruger National Park ELEPHANT Serving Bowl AFRICA Etruria &amp; Barlaston
102.50	Jan 21	174156293008	Wedgwood Jasperware Sage Green Framed Plaque "Blind Man's Buff". 6"x12"
171.77	Jan 20	174155291886;174155300737	Wedgwood Olive Green Jasperware Creamer With Lavender Floral Border ;Wedgwood Cobalt Blue Jasperware Creamer With White Acanthus Leaf Pattern
107.50	Jan 20	174155313316	Wedgwood White Jasperware&nbsp;Footed Bowl with handles with blue relief
89.90	Jan 20	174149895871;174154180750	???;Wedgwood Large 3 piece Jasperware Cobalt Blue Tea Set "Sacrifice Figures" 
149.60	Jan 20	174151353374;174152144139;174153891951;174154211836	Wedgwood Blue and White Jasperware Ale / Milk Jug with Lid (Etruscan)   7.25";Wedgwood BISCUIT BARREL w/ Metal Foot "Offering to Peace" Blue and White;Vintage Wedgwood Jasperware Blue and White PILLAR CANDLESTICKS ~7in;Wedgwood Jasperware Green and White Tri-Handle Loving Cup, "Muses" 
77.99	Jan 20	174154294598	Wedgwood White Jasperware&nbsp;Vase with dark blue relief
127.55	Jan 19	174154279946	Wedgwood Dark Blue Jasperware 6" Portland Vase "Peleus and Thetis" 
22.50	Jan 19	174154260874	Silver WEDGWOOD Cameo Necklace ENGLAND Cupids ~11in White on Green
88.00	Jan 19	174154259975	Wedgwood Yellow Caneware Cup and Saucer with Prunus and Bamboo Design
61.00	Jan 19	174154250610	Wedgwood "Breakfast" Cup and Saucer Yellow Caneware with Black "Fruiting" Border
46.00	Jan 19	174154197008	Wedgwood 3 piece Jasperware Cobalt Blue Tea Set (Brewster) "Sacrifice Figures" 
